date,country,H,I,S,D,M
2021-05-12,Sweden,1,0,0,1,7
2021-05-12,Japan,1,1,0,13,106
2021-05-13,Afghanistan,0,0,0,1,36
2021-05-13,Sweden,1,0,0,1,7
2021-05-13,Japan,1,0,0,13,107
2021-05-14,Afghanistan,0,0,0,1,36
2021-05-14,Sweden,1,0,0,1,7
2021-05-14,Japan,1,0,0,13,107
2021-05-15,Afghanistan,0,0,0,1,36
2021-05-15,Sweden,1,0,0,1,7
2021-05-15,Japan,1,0,0,13,107
2021-05-16,Afghanistan,0,0,0,1,36
2021-05-16,Sweden,1,0,0,1,7
2021-05-16,Japan,1,0,0,13,107
2021-05-17,Afghanistan,0,0,0,1,36
2021-05-17,Sweden,1,0,0,1,7
2021-05-17,Japan,1,0,0,13,107
2021-05-18,Afghanistan,0,0,0,1,36
2021-05-18,Sweden,0,1,0,1,7
2021-05-18,Japan,1,0,0,13,107
2021-05-19,Afghanistan,0,0,0,1,36
2021-05-19,Sweden,0,1,0,1,7
2021-05-19,Japan,1,0,0,13,107
2021-05-20,Afghanistan,0,0,0,1,36
2021-05-20,Sweden,0,1,0,1,7
2021-05-20,Japan,1,0,0,13,107
2021-05-21,Afghanistan,0,0,0,1,36
2021-05-21,Sweden,0,1,0,1,7
2021-05-21,Japan,1,0,0,13,107
2021-05-22,Afghanistan,0,0,0,1,36
2021-05-22,Sweden,0,1,0,1,7
2021-05-22,Japan,1,0,0,13,107
2021-05-23,Afghanistan,0,0,0,1,36
2021-05-23,Sweden,0,0,1,1,7
2021-05-23,Japan,1,0,0,13,107
2021-05-24,Afghanistan,0,0,0,1,36
2021-05-24,Sweden,0,0,1,1,7
2021-05-24,Japan,1,0,0,13,107
2021-05-25,Afghanistan,0,0,0,1,36
2021-05-25,Sweden,0,0,1,1,7
2021-05-25,Japan,0,1,0,13,107
2021-05-26,Afghanistan,0,0,0,1,36
2021-05-26,Sweden,0,0,1,1,7
2021-05-26,Japan,0,1,0,13,107
2021-05-27,Afghanistan,0,0,0,1,36
2021-05-27,Sweden,0,0,1,1,7
2021-05-27,Japan,0,1,0,13,107
2021-05-28,Afghanistan,0,0,0,1,36
2021-05-28,Sweden,0,0,1,1,7
2021-05-28,Japan,0,1,0,13,107
2021-05-29,Afghanistan,0,0,0,1,36
2021-05-29,Sweden,0,0,1,1,7
2021-05-29,Japan,0,1,0,13,107
2021-05-30,Afghanistan,0,0,0,1,36
2021-05-30,Sweden,0,0,1,1,7
2021-05-30,Japan,0,0,0,13,108
2021-05-31,Afghanistan,0,0,0,1,36
2021-05-31,Sweden,0,0,1,1,7
2021-05-31,Japan,0,0,0,13,108
2021-06-01,Afghanistan,0,0,0,1,36
2021-06-01,Sweden,0,0,1,1,7
2021-06-01,Japan,0,0,0,13,108
2021-06-02,Afghanistan,0,0,0,1,36
2021-06-02,Sweden,0,0,1,1,7
2021-06-02,Japan,0,0,0,13,108
2021-06-03,Afghanistan,0,0,0,1,36
2021-06-03,Sweden,0,0,1,1,7
2021-06-03,Japan,0,0,0,13,108
2021-06-04,Afghanistan,0,0,0,1,36
2021-06-04,Sweden,0,0,1,1,7
2021-06-04,Japan,0,0,0,13,108
2021-06-05,Afghanistan,0,0,0,1,36
2021-06-05,Sweden,0,0,1,1,7
2021-06-05,Japan,0,0,0,13,108
2021-06-06,Afghanistan,0,0,0,1,36
2021-06-06,Sweden,0,0,1,1,7
2021-06-06,Japan,0,0,0,13,108
2021-06-07,Afghanistan,0,0,0,1,36
2021-06-07,Sweden,0,0,0,1,8
2021-06-07,Japan,0,0,0,13,108
2021-06-08,Afghanistan,0,0,0,1,36
2021-06-08,Sweden,0,0,0,1,8
2021-06-08,Japan,0,0,0,13,108
2021-06-09,Afghanistan,0,0,0,1,36
2021-06-09,Sweden,0,0,0,1,8
2021-06-09,Japan,0,0,0,13,108
2021-06-10,Afghanistan,0,0,0,1,36
2021-06-10,Sweden,0,0,0,1,8
2021-06-10,Japan,0,0,0,13,108
2021-06-11,Afghanistan,0,0,0,1,36
2021-06-11,Sweden,0,0,0,1,8
2021-06-11,Japan,0,0,0,13,108
2021-06-12,Afghanistan,0,0,0,1,36
2021-06-12,Sweden,0,0,0,1,8
2021-06-12,Japan,0,0,0,13,108
2021-06-13,Afghanistan,0,0,0,1,36
2021-06-13,Sweden,0,0,0,1,8
2021-06-13,Japan,0,0,0,13,108
2021-06-14,Afghanistan,0,0,0,1,36
2021-06-14,Sweden,0,0,0,1,8
2021-06-14,Japan,0,0,0,13,108
2021-06-15,Afghanistan,0,0,0,1,36
2021-06-15,Sweden,0,0,0,1,8
2021-06-15,Japan,0,0,0,13,108
2021-06-16,Afghanistan,0,0,0,1,36
2021-06-16,Sweden,0,0,0,1,8
2021-06-16,Japan,0,0,0,13,108
2021-06-17,Afghanistan,0,0,0,1,36
2021-06-17,Sweden,0,0,0,1,8
2021-06-17,Japan,0,0,0,13,108
2021-06-18,Afghanistan,0,0,0,1,36
2021-06-18,Sweden,0,0,0,1,8
2021-06-18,Japan,0,0,0,13,108
2021-06-19,Afghanistan,0,0,0,1,36
2021-06-19,Sweden,0,0,0,1,8
2021-06-19,Japan,0,0,0,13,108
2021-06-20,Afghanistan,0,0,0,1,36
2021-06-20,Sweden,0,0,0,1,8
2021-06-20,Japan,0,0,0,13,108
2021-06-21,Afghanistan,0,0,0,1,36
2021-06-21,Sweden,0,0,0,1,8
2021-06-21,Japan,0,0,0,13,108
2021-06-22,Afghanistan,0,0,0,1,36
2021-06-22,Sweden,0,0,0,1,8
2021-06-22,Japan,0,0,0,13,108
2021-06-23,Afghanistan,0,0,0,1,36
2021-06-23,Sweden,0,0,0,1,8
2021-06-23,Japan,0,0,0,13,108
2021-06-24,Afghanistan,0,0,0,1,36
2021-06-24,Sweden,0,0,0,1,8
2021-06-24,Japan,0,0,0,13,108
2021-06-25,Afghanistan,0,0,0,1,36
2021-06-25,Sweden,0,0,0,1,8
2021-06-25,Japan,0,0,0,13,108
2021-06-26,Afghanistan,0,0,0,1,36
2021-06-26,Sweden,0,0,0,1,8
2021-06-26,Japan,0,0,0,13,108
2021-06-27,Afghanistan,0,0,0,1,36
2021-06-27,Sweden,0,0,0,1,8
2021-06-27,Japan,0,0,0,13,108
2021-06-28,Afghanistan,0,0,0,1,36
2021-06-28,Sweden,0,0,0,1,8
2021-06-28,Japan,0,0,0,13,108
2021-06-29,Afghanistan,0,0,0,1,36
2021-06-29,Sweden,0,0,0,1,8
2021-06-29,Japan,0,0,0,13,108
2021-06-30,Afghanistan,0,0,0,1,36
2021-06-30,Sweden,0,0,0,1,8
2021-06-30,Japan,0,0,0,13,108
